split,model,video_id,length_frames,mode,time_seconds,peak_mem_gb,f1,status
test,stgcn_transformer,1419122_A,1687,chunked,0.019597514998167753,0.10295963287353516,0.3333333333333333,ok
test,stgcn_transformer,1419122_A,1687,streaming,0.00845160597236827,0.2535672187805176,0.3333333333333333,ok
test,stgcn_transformer,1419122_B,1687,chunked,0.01951342000393197,0.1026606559753418,0.6646114682889818,ok
test,stgcn_transformer,1419122_B,1687,streaming,0.008401809027418494,0.2535672187805176,0.2700396099474462,ok
val,stgcn_mamba,1247641_A,28528,chunked,0.3964467800105922,0.07021903991699219,0.687399120986505,ok
val,stgcn_mamba,1247641_A,28528,streaming,0.11109405005117878,2.717069149017334,0.5964175766126463,ok
val,stgcn_mamba,1247641_B,28528,chunked,0.39677414298057556,0.07051897048950195,0.6936249005847942,ok
val,stgcn_mamba,1247641_B,28528,streaming,0.11057803098810837,2.717069149017334,0.6494286422988638,ok
val,stgcn_mamba,1582841_A,22006,chunked,0.30755288002546877,0.06491899490356445,0.33288588568091676,ok
val,stgcn_mamba,1582841_A,22006,streaming,0.09761604899540544,2.10770320892334,0.24671284899143145,ok
val,stgcn_mamba,1582841_B,22006,chunked,0.30753684299997985,0.06554269790649414,0.6550171167741964,ok
val,stgcn_mamba,1582841_B,22006,streaming,0.09711357700871304,2.10770320892334,0.5814812982954413,ok
val,stgcn_mamba,1429910-16075041-16115817_A,12376,chunked,0.17437327199149877,0.057729244232177734,0.4368227136125105,ok
val,stgcn_mamba,1429910-16075041-16115817_A,12376,streaming,0.046558383968658745,1.202110767364502,0.4441113991983246,ok
val,stgcn_mamba,1429910-16075041-16115817_B,12376,chunked,0.17385184299200773,0.05762195587158203,0.3326991837010052,ok
val,stgcn_mamba,1429910-16075041-16115817_B,12376,streaming,0.04613325500395149,1.202110767364502,0.25571549534292976,ok
val,stgcn_mamba,1414123_A,34237,chunked,0.47854994097724557,0.07380056381225586,0.6674434192605787,ok
val,stgcn_mamba,1414123_A,34237,streaming,0.16141127404989675,3.2536301612854004,0.24547064202467064,ok
val,stgcn_mamba,1414123_B,34237,chunked,0.4772279099561274,0.07404470443725586,0.6823902622245895,ok
val,stgcn_mamba,1414123_B,34237,streaming,0.16081281600054353,3.2536301612854004,0.41765521585131515,ok
val,stgcn_mamba,1413236_A,3160,chunked,0.04565437202109024,0.051947593688964844,0.3333333333333333,ok
val,stgcn_mamba,1413236_A,3160,streaming,0.012089575990103185,0.3383793830871582,0.3331222292590247,ok
val,stgcn_mamba,1413236_B,3160,chunked,0.045735222985967994,0.05160045623779297,0.6938032323212457,ok
val,stgcn_mamba,1413236_B,3160,streaming,0.011568773014005274,0.3383793830871582,0.6406443752914575,ok
val,stgcn_mamba,1212402_A,51129,chunked,0.7111868450301699,0.08622312545776367,0.6793823491662603,ok
val,stgcn_mamba,1212402_A,51129,streaming,0.24238934298045933,4.836522579193115,0.25347284611551735,ok
val,stgcn_mamba,1212402_B,51129,chunked,0.7101404119748622,0.0877842903137207,0.6485651167542048,ok
val,stgcn_mamba,1212402_B,51129,streaming,0.24233923404244706,4.836522579193115,0.5714217089786228,ok
val,stgcn_bimamba,1247641_A,28528,chunked,0.637061906978488,0.0765981674194336,0.696149473582016,ok
val,stgcn_bimamba,1247641_A,28528,streaming,0.1365737549494952,2.722834587097168,0.6473531802125735,ok
val,stgcn_bimamba,1247641_B,28528,chunked,0.6408499579993077,0.07710599899291992,0.7015497481566418,ok
val,stgcn_bimamba,1247641_B,28528,streaming,0.1359027199796401,2.723595142364502,0.6741740968181421,ok
val,stgcn_bimamba,1582841_A,22006,chunked,0.4968083290150389,0.07150602340698242,0.3329845789928581,ok
val,stgcn_bimamba,1582841_A,22006,streaming,0.11461355001665652,2.114229202270508,0.1382796086199652,ok
val,stgcn_bimamba,1582841_B,22006,chunked,0.49618149996967986,0.07203340530395508,0.6723213610712416,ok
val,stgcn_bimamba,1582841_B,22006,streaming,0.11456660501426086,2.114229202270508,0.6351759978209042,ok
